route,irn_id
"CASTLE PEAK ROAD - TING KAU",110589
"CASTLE PEAK ROAD - TING KAU",110592
"CASTLE PEAK ROAD - TING KAU",110596
"CASTLE PEAK ROAD - TING KAU",110603
"CASTLE PEAK ROAD - TING KAU",110605
"CASTLE PEAK ROAD - TSING LUNG TAU",93695
"CASTLE PEAK ROAD - TSING LUNG TAU",97087
"CASTLE PEAK ROAD - TSING LUNG TAU",110667
"CASTLE PEAK ROAD - TSING LUNG TAU",110668
"CASTLE PEAK ROAD - TSING LUNG TAU",110717
"CASTLE PEAK ROAD - TSING LUNG TAU",110718
"CASTLE PEAK ROAD - TSING LUNG TAU",110719
"CASTLE PEAK ROAD - TSING LUNG TAU",110742
"CASTLE PEAK ROAD - TSING LUNG TAU",110750
"CASTLE PEAK ROAD - TSING LUNG TAU",110752
"CASTLE PEAK ROAD - TSING LUNG TAU",110753
"CASTLE PEAK ROAD - TSING LUNG TAU",110754
"CASTLE PEAK ROAD - TSING LUNG TAU",110883
"CASTLE PEAK ROAD - TSING LUNG TAU",110889
"CASTLE PEAK ROAD - TSING LUNG TAU",110893
"CHATHAM ROAD NORTH",105209
"CHATHAM ROAD NORTH",260735
"CHE KUNG MIU ROAD",112017
"CONNAUGHT ROAD CENTRAL",612
"CONNAUGHT ROAD CENTRAL",766
"CONNAUGHT ROAD CENTRAL",1063
"CONNAUGHT ROAD CENTRAL",1218
"CONNAUGHT ROAD CENTRAL",1301
"CONNAUGHT ROAD CENTRAL",1382
"CONNAUGHT ROAD CENTRAL",1824
"CONNAUGHT ROAD CENTRAL",2062
"CONNAUGHT ROAD CENTRAL",4280
"FERRY STREET",105472
"FERRY STREET",105543
"FERRY STREET",106709
"FERRY STREET",106881
"FERRY STREET",106903
"FERRY STREET",107158
"GLOUCESTER ROAD",1678
"GLOUCESTER ROAD",2758
"GLOUCESTER ROAD",2879
"GLOUCESTER ROAD",3557
"GLOUCESTER ROAD",3724
"GLOUCESTER ROAD",4301
"GLOUCESTER ROAD",4950
"GLOUCESTER ROAD",5135
"GLOUCESTER ROAD",5242
"GLOUCESTER ROAD",5319
"GLOUCESTER ROAD",64920
"GLOUCESTER ROAD",64921
"GLOUCESTER ROAD",127914
"HARCOURT ROAD",1828
"HARCOURT ROAD",2374
"HARCOURT ROAD",2880
"HARCOURT ROAD",3540
"HARCOURT ROAD",4060
"HARCOURT ROAD",5010
"HARCOURT ROAD",5245
